boundary_name,year,capability_mw
B4,2032,9400.0
B4,2033,9600.0
B4,2034,10300.0
B4,2035,10300.0
B4,2036,10300.0
B4,2037,10300.0
B4,2038,10300.0
B4,2039,10300.0
B4,2040,10300.0
B4,2041,10300.0
B4,2042,10300.0
B4,2043,10300.0
B4,2044,10300.0
B5,2025,4400.0
B5,2026,4100.0
B5,2027,4200.0
B5,2028,5600.0
B5,2029,8000.0
B5,2030,8000.0
B5,2031,10000.0
B5,2032,10000.0
B5,2033,9600.0
B5,2034,9600.0
B5,2035,9600.0
B5,2036,9700.0
B5,2037,9700.0
B5,2038,9700.0
B5,2039,9700.0
B5,2040,9700.0
B5,2041,9700.0
B5,2042,9700.0
B5,2043,9700.0
B5,2044,9700.0
B6,2025,7000.0
B6,2026,7000.0
B6,2027,9600.0
B6,2028,8800.0
B6,2029,11500.0
B6,2030,11500.0
B6,2031,14300.0
B6,2032,14300.0
B6,2033,15800.0
B6,2034,16900.0
B6,2035,16900.0
B6,2036,16900.0
B6,2037,16900.0
B6,2038,16900.0
B6,2039,16900.0
B6,2040,16900.0
B6,2041,16900.0
B6,2042,16900.0
B6,2043,16900.0
B6,2044,16900.0
B7a,2025,9100.0
B7a,2026,9100.0
B7a,2027,11400.0
B7a,2028,11400.0
B7a,2029,11400.0
B7a,2030,9700.0
B7a,2031,18100.0
B7a,2032,18100.0
B7a,2033,18100.0
B7a,2034,18100.0
B7a,2035,18100.0
B7a,2036,18100.0
B7a,2037,18100.0
B7a,2038,18100.0
B7a,2039,18100.0
B7a,2040,18100.0
B7a,2041,18100.0
B7a,2042,18100.0
B7a,2043,18100.0
B7a,2044,18100.0
B8,2025,12500.0
B8,2026,12500.0
B8,2027,13100.0
B8,2028,14000.0
B8,2029,14000.0
B8,2030,13600.0
B8,2031,19400.0
B8,2032,19400.0
B8,2033,21500.0
B8,2034,21500.0
B8,2035,21500.0
B8,2036,21500.0
B8,2037,21500.0
B8,2038,21500.0
B8,2039,21500.0
B8,2040,21500.0
B8,2041,21500.0
B8,2042,21500.0
B8,2043,21500.0
B8,2044,21500.0
B9,2025,12900.0
B9,2026,12900.0
B9,2027,12900.0
B9,2028,12900.0
B9,2029,12900.0
B9,2030,13700.0
B9,2031,14400.0
B9,2032,14400.0
B9,2033,16400.0
B9,2034,16400.0
B9,2035,16400.0
B9,2036,16400.0
B9,2037,16400.0
B9,2038,16400.0
B9,2039,16400.0
B9,2040,16400.0
B9,2041,16400.0
B9,2042,16400.0
B9,2043,16400.0
B9,2044,16400.0
EC5,2025,4400.0
EC5,2026,4500.0
EC5,2027,5300.0
EC5,2028,5300.0
EC5,2029,5900.0
EC5,2030,15300.0
EC5,2031,15300.0
EC5,2032,15300.0
EC5,2033,15300.0
EC5,2034,16800.0
EC5,2035,16800.0
EC5,2036,16800.0
EC5,2037,16800.0
EC5,2038,16800.0
EC5,2039,16800.0
EC5,2040,16800.0
EC5,2041,16800.0
EC5,2042,16800.0
EC5,2043,16800.0
EC5,2044,16800.0
LE1,2025,11200.0
LE1,2026,11200.0
LE1,2027,10200.0
LE1,2028,10200.0
LE1,2029,13900.0
LE1,2030,17000.0
LE1,2031,17000.0
LE1,2032,17000.0
LE1,2033,17000.0
LE1,2034,17900.0
LE1,2035,17900.0
LE1,2036,17900.0
LE1,2037,17900.0
LE1,2038,17900.0
LE1,2039,17900.0
LE1,2040,17900.0
LE1,2041,17900.0
LE1,2042,17900.0
LE1,2043,17900.0
LE1,2044,17900.0
NW1,2025,1800.0
NW1,2026,1800.0
NW1,2027,1800.0
NW1,2028,1800.0
NW1,2029,1800.0
NW1,2030,1800.0
NW1,2031,1800.0
NW1,2032,1800.0
NW1,2033,1800.0
NW1,2034,1800.0
NW1,2035,1800.0
NW1,2036,1800.0
NW1,2037,1800.0
NW1,2038,1800.0
NW1,2039,1800.0
NW1,2040,1800.0
NW1,2041,1800.0
NW1,2042,1800.0
NW1,2043,1800.0
NW1,2044,1800.0
NW2,2025,1400.0
NW2,2026,1400.0
NW2,2027,1400.0
NW2,2028,1400.0
NW2,2029,3600.0
NW2,2030,3600.0
NW2,2031,3600.0
NW2,2032,3600.0
NW2,2033,3900.0
NW2,2034,3900.0
NW2,2035,3900.0
NW2,2036,3900.0
NW2,2037,3900.0
NW2,2038,3900.0
NW2,2039,3900.0
NW2,2040,3900.0
NW2,2041,3900.0
NW2,2042,3900.0
NW2,2043,3900.0
NW2,2044,3900.0
NW3,2025,5500.0
NW3,2026,5500.0
NW3,2027,5500.0
NW3,2028,5500.0
NW3,2029,5500.0
NW3,2030,5500.0
NW3,2031,5500.0
NW3,2032,5500.0
NW3,2033,5500.0
NW3,2034,5500.0
NW3,2035,5500.0
NW3,2036,5500.0
NW3,2037,5500.0
NW3,2038,5500.0
NW3,2039,5500.0
NW3,2040,5500.0
NW3,2041,5500.0
NW3,2042,5500.0
NW3,2043,5500.0
NW3,2044,5500.0
SC1,2025,5500.0
SC1,2026,5500.0
SC1,2027,5100.0
SC1,2028,6100.0
SC1,2029,6100.0
SC1,2030,6100.0
SC1,2031,6100.0
SC1,2032,6100.0
SC1,2033,6100.0
SC1,2034,6100.0
SC1,2035,6100.0
SC1,2036,6100.0
SC1,2037,6100.0
SC1,2038,6100.0
SC1,2039,6100.0
SC1,2040,6100.0
SC1,2041,6100.0
SC1,2042,6100.0
SC1,2043,6100.0
SC1,2044,6100.0
SC1.5,2025,7530.0
SC1.5,2026,6570.0
SC1.5,2027,6570.0
SC1.5,2028,6570.0
SC1.5,2029,6570.0
SC1.5,2030,6570.0
SC1.5,2031,6570.0
SC1.5,2032,6570.0
SC1.5,2033,6570.0
SC1.5,2034,6570.0
SC1.5,2035,6570.0
SC1.5,2036,6570.0
SC1.5,2037,6570.0
SC1.5,2038,6570.0
SC1.5,2039,6570.0
SC1.5,2040,6570.0
SC1.5,2041,6570.0
SC1.5,2042,6570.0
SC1.5,2043,6570.0
SC1.5,2044,6570.0
SC2,2025,5400.0
SC2,2026,5400.0
SC2,2027,3300.0
SC2,2028,4500.0
SC2,2029,4500.0
SC2,2030,4500.0
SC2,2031,4500.0
SC2,2032,4500.0
SC2,2033,4500.0
SC2,2034,4500.0
SC2,2035,4500.0
SC2,2036,4500.0
SC2,2037,4500.0
SC2,2038,4500.0
SC2,2039,4500.0
SC2,2040,4500.0
SC2,2041,4500.0
SC2,2042,4500.0
SC2,2043,4500.0
SC2,2044,4500.0
SC3,2025,7300.0
SC3,2026,7400.0
SC3,2027,7400.0
SC3,2028,7400.0
SC3,2029,7400.0
SC3,2030,7400.0
SC3,2031,7400.0
SC3,2032,7400.0
SC3,2033,7400.0
SC3,2034,7400.0
SC3,2035,7400.0
SC3,2036,7400.0
SC3,2037,7400.0
SC3,2038,7400.0
SC3,2039,7400.0
SC3,2040,7400.0
SC3,2041,7400.0
SC3,2042,7400.0
SC3,2043,7400.0
SC3,2044,7400.0
SW1,2025,2900.0
SW1,2026,3000.0
SW1,2027,3000.0
SW1,2028,3000.0
SW1,2029,2900.0
SW1,2030,2900.0
SW1,2031,2900.0
SW1,2032,2900.0
SW1,2033,2900.0
SW1,2034,2900.0
SW1,2035,2900.0
SW1,2036,2900.0
SW1,2037,2900.0
SW1,2038,2900.0
SW1,2039,2900.0
SW1,2040,2900.0
SW1,2041,2900.0
SW1,2042,2900.0
SW1,2043,2900.0
SW1,2044,2900.0
